hour,day,month,pm25,pm10,co,no2,so2,o3,nh3,aqi_change_rate
3,10,7,26.56,121.98,75.46,0.1,0.54,47.64,0.0,-1.980000000000004
12,19,6,19.53,87.34,77.21,0.05,0.45,48.04,0.0,-0.6099999999999994
9,8,6,11.91,56.22,80.33,0.03,0.18,54.36,0.0,-1.519999999999996
3,17,6,36.14,154.91,81.87,0.09,0.4,51.65,0.0,0.25
19,24,7,22.13,85.49,80.12,0.09,0.39,46.34,0.0,3.049999999999997
20,27,6,19.35,34.0,91.11,0.24,0.41,55.03,0.42,-5.459999999999994
18,22,7,14.62,54.66,76.76,0.07,0.31,44.17,0.0,1.1599999999999966
15,26,7,31.78,135.65,74.1,0.09,0.54,50.77,0.0,4.310000000000002
16,16,7,24.56,109.23,75.19,0.09,0.43,39.85,0.0,0.5400000000000063
1,28,7,29.12,150.72,70.47,0.1,0.6,45.18,0.0,-1.4299999999999926
14,9,7,30.58,156.56,75.79,0.09,0.51,45.15,0.0,-1.0600000000000025
22,3,7,21.24,79.14,72.46,0.1,0.35,44.02,0.03,2.019999999999996
2,2,7,17.2,75.08,71.93,0.1,0.44,45.23,0.0,0.9699999999999988
0,26,7,31.24,102.23,72.25,0.09,0.45,50.79,0.0,0.0
4,13,6,12.94,57.92,75.61,0.08,0.44,42.61,0.0,0.8000000000000043
4,24,6,30.84,133.88,82.43,0.1,0.5,57.18,0.0,1.009999999999991
14,23,7,16.42,69.13,74.47,0.07,0.41,46.01,0.0,-1.980000000000004
16,4,6,22.33,106.17,77.49,0.07,0.39,52.49,0.0,-1.0300000000000011
20,11,7,14.57,62.77,75.68,0.08,0.3,42.82,0.0,-0.4699999999999988
21,9,7,31.35,132.74,75.96,0.11,0.56,46.59,0.0,-0.1700000000000017
2,25,6,44.08,158.88,95.16,0.1,0.64,73.84,0.0,1.2800000000000011
14,6,7,30.75,146.86,73.31,0.11,0.61,48.95,0.0,0.8599999999999994
20,28,7,29.71,151.38,68.71,0.1,0.66,45.53,0.0,-2.6099999999999994
